Clean Age,Country Name,Region,Indicator,Year,Unit of measurement
27,Slovakia,Europe,Victims of intentional homicide,2017,"Rate per 100,000 population"
5,Slovenia,Europe,Victims of intentional homicide,2021,Counts
27,Hungary,Europe,Victims of intentional homicide,2021,Counts
5,Honduras,Americas,Persons arrested/suspected for intentional homicide,2022,"Rate per 100,000 population"
5,El Salvador,Americas,Persons arrested/suspected for intentional homicide,2018,"Rate per 100,000 population"
22,Austria,Europe,Persons arrested/suspected for intentional homicide,2016,"Rate per 100,000 population"
27,Trinidad and Tobago,Americas,Persons arrested/suspected for intentional homicide,2020,Counts
27,Slovenia,Europe,Victims of intentional homicide,2015,Counts
22,Bermuda,Americas,Victims of intentional homicide,2016,Counts
5,Switzerland,Europe,Persons arrested/suspected for intentional homicide,2013,Counts
22,Ireland,Europe,Victims of intentional homicide,2015,Counts
5,Canada,Americas,Victims of intentional homicide,2021,"Rate per 100,000 population"
27,Spain,Europe,Persons arrested/suspected for intentional homicide,2018,"Rate per 100,000 population"
27,Mexico,Americas,Victims of intentional homicide,2018,"Rate per 100,000 population"
27,United States of America,Americas,Persons arrested/suspected for intentional homicide,2013,"Rate per 100,000 population"
5,Saint Lucia,Americas,Victims of intentional homicide,2021,"Rate per 100,000 population"
22,Bhutan,Asia,Persons arrested/suspected for intentional homicide,2020,"Rate per 100,000 population"
27,Honduras,Americas,Persons arrested/suspected for intentional homicide,2022,Counts
22,Mexico,Americas,Victims of intentional homicide,2015,"Rate per 100,000 population"
5,Guyana,Americas,Victims of intentional homicide,2021,Counts
5,Bulgaria,Europe,Victims of intentional homicide,2016,Counts
5,Bhutan,Asia,Victims of intentional homicide,2019,Counts
27,Guatemala,Americas,Victims of intentional homicide,2019,"Rate per 100,000 population"
27,Croatia,Europe,Victims of intentional homicide,2022,Counts
22,Costa Rica,Americas,Victims of intentional homicide,2019,"Rate per 100,000 population"
22,Honduras,Americas,Victims of intentional homicide,2019,Counts
22,Hungary,Europe,Victims of intentional homicide,2017,"Rate per 100,000 population"
22,Panama,Americas,Victims of intentional homicide,2019,"Rate per 100,000 population"
5,Dominica,Americas,Victims of intentional homicide,2018,Counts
27,Lithuania,Europe,Victims of intentional homicide,2017,"Rate per 100,000 population"
22,Argentina,Americas,Victims of intentional homicide,2020,Counts
27,El Salvador,Americas,Victims of intentional homicide,2020,"Rate per 100,000 population"
27,France,Europe,Victims of intentional homicide,2020,"Rate per 100,000 population"
5,United Kingdom (England and Wales),Europe,Persons arrested/suspected for intentional homicide,2016,"Rate per 100,000 population"
22,Ireland,Europe,Victims of intentional homicide,2016,"Rate per 100,000 population"
22,Türkiye,Asia,Persons arrested/suspected for intentional homicide,2020,"Rate per 100,000 population"
27,Colombia,Americas,Persons arrested/suspected for intentional homicide,2019,Counts
27,Uzbekistan,Asia,Persons arrested/suspected for intentional homicide,2017,Counts
27,Mauritius,Africa,Victims of intentional homicide,2021,"Rate per 100,000 population"
