Number of Femicide,"Rate per 100,000 population",Age (Cleaned),Country Code,Country Name,Region,Subregion,Indicator,Age,Year
19,0.953011038,27,GBR_E_W,United Kingdom (England and Wales),Europe,Northern Europe,Victims of intentional homicide,25-29,1/1/2017 12:00:00 AM
0,0,27,BRB,Barbados,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,25-29,1/1/2019 12:00:00 AM
3,0.523583510,22,NLD,Netherlands (Kingdom of the),Europe,Western Europe,Victims of intentional homicide,20-24,1/1/2022 12:00:00 AM
2,1.151761908,27,DNK,Denmark,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2015 12:00:00 AM
0,0,27,LTU,Lithuania,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2019 12:00:00 AM
0,0,5,VCT,Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,Victims of intentional homicide,0-9,1/1/2019 12:00:00 AM
32,1.857411187,22,ARG,Argentina,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,20-24,1/1/2018 12:00:00 AM
1,0.355381813,27,CHE,Switzerland,Europe,Western Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2018 12:00:00 AM
26,5.449031644,22,DOM,Dominican Republic,Americas,Latin America and the Caribbean,Victims of intentional homicide,20-24,1/1/2017 12:00:00 AM
1,0.563227972,22,SRB,Serbia,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,20-24,1/1/2021 12:00:00 AM
2,8.476731372,22,CPV,Cabo Verde,Africa,Sub-Saharan Africa,Victims of intentional homicide,20-24,1/1/2018 12:00:00 AM
0,0,22,CRI,Costa Rica,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,20-24,1/1/2020 12:00:00 AM
4,0.723276951,5,CZE,Czechia,Europe,Eastern Europe,Victims of intentional homicide,0-9,1/1/2016 12:00:00 AM
0,0,22,ISL,Iceland,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,20-24,1/1/2017 12:00:00 AM
